iso_code,Country ,WHO Region,Continents,WorldPop,Case,Death,WPPM,CasePM,DeathPM,WPP100T,CaseP100T,DeathP100T,CasePHTCW,DeathPHTCW
AFG,Afghanistan,WHO Eastern Mediterranean Region,Asia,42239854,1700,1,42.24,40.25,0.02,422.4,4.02,0,3162.985645,3.186845559
BHR,Bahrain,WHO Eastern Mediterranean Region,Asia,1485509,0,0,1.49,0,0,14.86,0,0,3162.985645,3.186845559
DJI,Djibouti,WHO Eastern Mediterranean Region,Africa,1136455,0,0,1.14,0,0,11.36,0,0,835.0856808,3.362534856
EGY,Egypt,WHO Eastern Mediterranean Region,Africa,112716598,0,0,112.72,0,0,1127.17,0,0,835.0856808,3.362534856
IRN,Iran,WHO Eastern Mediterranean Region,Asia,89172767,0,0,89.17,0,0,891.73,0,0,3162.985645,3.186845559
IRQ,Iraq,WHO Eastern Mediterranean Region,Asia,45504560,0,0,45.5,0,0,455.05,0,0,3162.985645,3.186845559
JOR,Jordan,WHO Eastern Mediterranean Region,Asia,11337052,0,0,11.34,0,0,113.37,0,0,3162.985645,3.186845559
KWT,Kuwait,WHO Eastern Mediterranean Region,Asia,4310108,0,0,4.31,0,0,43.1,0,0,3162.985645,3.186845559
LBN,Lebanon,WHO Eastern Mediterranean Region,Asia,5353930,0,0,5.35,0,0,53.54,0,0,3162.985645,3.186845559
LBY,Libya,WHO Eastern Mediterranean Region,Africa,6888388,0,0,6.89,0,0,68.88,0,0,835.0856808,3.362534856
MAR,Morocco,WHO Eastern Mediterranean Region,Africa,37840044,0,0,37.84,0,0,378.4,0,0,835.0856808,3.362534856
OMN,Oman,WHO Eastern Mediterranean Region,Asia,4644384,2016,0,4.64,434.07,0,46.44,43.41,0,3162.985645,3.186845559
PAK,Pakistan,WHO Eastern Mediterranean Region,Asia,240485658,24352,0,240.49,101.26,0,2404.86,10.13,0,3162.985645,3.186845559
PSE,Palestine,WHO Eastern Mediterranean Region,Asia,5371230,0,0,5.37,0,0,53.71,0,0,3162.985645,3.186845559
QAT,Qatar,WHO Eastern Mediterranean Region,Asia,2716391,0,0,2.72,0,0,27.16,0,0,3162.985645,3.186845559
SAU,Saudi Arabia,WHO Eastern Mediterranean Region,Asia,36947025,2259,0,36.95,61.14,0,369.47,6.11,0,3162.985645,3.186845559
SOM,Somalia,WHO Eastern Mediterranean Region,Africa,18143378,755,1,18.14,41.61,0.06,181.43,4.16,0.01,835.0856808,3.362534856
SDN,Sudan,WHO Eastern Mediterranean Region,Africa,48109006,10412,66,48.11,216.43,1.37,481.09,21.64,0.14,835.0856808,3.362534856
SYR,Syria,WHO Eastern Mediterranean Region,Asia,23227014,0,0,23.23,0,0,232.27,0,0,3162.985645,3.186845559
TUN,Tunisia,WHO Eastern Mediterranean Region,Africa,12458223,0,0,12.46,0,0,124.58,0,0,835.0856808,3.362534856
ARE,United Arab Emirates,WHO Eastern Mediterranean Region,Asia,9516871,0,0,9.52,0,0,95.17,0,0,3162.985645,3.186845559
,Yemen,WHO Eastern Mediterranean Region,Asia,34449825,951,1,34.45,27.61,0.03,344.5,2.76,0,3162.985645,3.186845559
ALB,Albania,WHO European Region,Europe,2832439,0,0,2.83,0,0,28.32,0,0,0.212003853,0
